2025-04-22 21:44:38 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:44:42 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:44:44 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:45:00 | INFO | root | [test_login_ddt.py:71] - passed
2025-04-22 21:48:28 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:48:29 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:48:29 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:48:35 | INFO | root | [test_login_ddt.py:71] - failed
2025-04-22 21:48:40 | INFO | root | [test_login_ddt.py:74] - Passed
2025-04-22 21:50:18 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:50:18 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:50:18 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:50:19 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:50:21 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:50:21 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:50:33 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 21:50:34 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:50:35 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:50:35 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:50:56 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
